"Koin - Callback Listing","Koin - Callback Listing"
"Enable PCI Compliance to the form?","Enable PCI Compliance to the form?"
"PCI Client Key","PCI Client Key"
"Enable PCI compliant credit card fields using Koin Checkout SDK","Enable PCI compliant credit card fields using Koin Checkout SDK"
"Client key provided by Koin for PCI compliant checkout","Client key provided by Koin for PCI compliant checkout"
"Secure Card Information","Card Information"
"Loading secure payment form...","Loading secure payment form..."
"PCI card token is required but not provided.","PCI card token is required but not provided."
"Confirm Card Data","Confirm Card Data"
"Edit","Edit"
"Card confirmed","Card confirmed"
"Please confirm your card data to see installments options","Please confirm your card data to see installments options"
"Installments","Installments"
"Created","Created"
"API Key","API Key"
"Marketplace ID","Marketplace ID"
"Refund when order is cancelled","Refund when order is cancelled"
"Show Payment Info at Success Page","Show Payment Info at Success Page"
"Enable Log Requests","Enable Log Requests"
"Address Attributes","Address Attributes"
"Street","Street"
"Number","Number"
"Complement","Complement"
"District","District"
"Customer Attributes","Customer Attributes"
"Company Attribute","Company Attribute"
"Enabled","Enabled"
"Title","Title"
"Logo to be shown on checkout page","Logo to be shown on checkout page"
"Checkout Instructions","Checkout Instructions"
"Instructions to be shown in checkout's page, it can be HTML","Instructions to be shown in checkout's page, it can be HTML"
"New Order Status","New Order Status"
"Paid Order Status","Paid Order Status"
"Completed Orders Status","Completed Orders Status"
"Paid Virtual Order Status","Paid Virtual Order Status"
"Cancel Unapproved Orders","Cancel Unapproved Orders"
"Order unapproved will be automatically cancelled","Order unapproved will be automatically cancelled"
"Cancelled Order Status","Cancelled Order Status"
"Sort Order","Sort Order"
"Payment From Applicable Countries","Payment From Applicable Countries"
"Payment From Specific Countries","Payment From Specific Countries"
"Order canceled automatically","Order canceled automatically"
"Order status automatically updated to %1","Order status automatically updated to %1"
"Your payment for the order %1 was confirmed","Your payment for the order %1 was confirmed"
"The order %1 was cancelled","The order %1 was cancelled"
"The order %1 was cancelled. Amount of %2","The order %1 was cancelled. Amount of %2"
"Identifier of the organization that's using the service (Provider by Koin)","Identifier of the organization that's using the service (Provider by Koin)"
"If enabled, the transaction will be done in Koin test environment","If enabled, the transaction will be done in Koin test environment"
"If your store shows the payment info at success page, DON'T enable this feature","If your store shows the payment info at success page, DON'T enable this feature"
"Customer Type Attribute","Customer Type Attribute"
