Koin - Callback Listing,Koin - Listado de Llamadas de Retorno
"Enable PCI Compliance to the form?","¿Habilitar cumplimiento PCI en el formulario?"
"PCI Client Key","Clave de Cliente PCI"
"Enable PCI compliant credit card fields using Koin Checkout SDK","Habilitar campos de tarjeta de crédito compatibles con PCI usando el SDK de Koin Checkout"
"Client key provided by Koin for PCI compliant checkout","Clave de cliente proporcionada por Koin para checkout compatible con PCI"
"Secure Card Information","Información de la Tarjeta"
"Loading secure payment form...","Cargando formulario de pago seguro..."
"PCI card token is required but not provided.","Se requiere el token de tarjeta PCI pero no se proporcionó."
"Confirm Card Data","Confirmar Datos de Tarjeta"
"Edit","Editar"
"Card confirmed","Tarjeta confirmada"
"Please confirm your card data to see installments options","Por favor, confirme los datos de su tarjeta para ver las opciones de cuotas"
installments,Cuotas
Installments,Cuotas
Created,Creado
API Key,Clave de API
Marketplace ID,ID de Marketplace
Refund when order is cancelled,Reembolso al cancelar el pedido
Show Payment Info at Success Page,Mostrar información de pago en la página de finalización de compra
Enable Log Requests,Habilitar Registro de Solicitudes
Address Attributes,Atributos de Dirección
Street,Calle
Number,Número
Complement,Complemento
District,Barrio
Customer Attributes,Atributos del Cliente
Company Attribute,Atributos de la Empresa
Enabled,Habilitado
Title,Título
Logo to be shown on checkout page,Logotipo a mostrar en la página de pago
Checkout Instructions,Instrucciones para el Pago
"Instructions to be shown in checkout's page, it can be HTML","Instrucciones que se mostrarán en la página de pago, puede ser HTML"
"New Order Status","Estado del Nuevo Pedido"
"Paid Order Status","Estado de los Pedidos Pagados"
Completed Orders Status,Estado de los Pedidos Finalizados
Paid Virtual Order Status,Estado del Pedido Virtual Pagado
Cancel Unapproved Orders,Cancelar Pedidos no Aprobados
Order unapproved will be automatically cancelled,Los pedidos no aprobados serán cancelados automáticamente
Cancelled Order Status,Estado del Pedido Cancelado
Sort Order,Orden de Clasificación
Payment From Applicable Countries,Pago Desde Países Aplicables
Payment From Specific Countries,Pago Desde Países Específicos
Order canceled automatically,Pedido cancelado automáticamente
Order status automatically updated to %1,Estado de pedido actualizado automáticamente a %1
Your payment for the order %1 was confirmed,Tu pago para el pedido %1 fue confirmado
The order %1 was cancelled,El pedido %1 fue cancelado
The order %1 was cancelled. Amount of %2,El pedido %1 fue cancelado. Monto de %2
Identifier of the organization that's using the service (Provider by Koin),Identificador de la organización que utiliza el servicio (Proporcionado por Koin)
"If enabled, the transaction will be done in Koin test environment","Si está habilitado, la transacción se realizará en el entorno de prueba de Koin"
"If your store shows the payment info at success page, DON'T enable this feature",Si tu tienda muestra la información de pago en la página de finalización de compra NO habilites esta función
Customer Type Attribute,Tipo de Cliente
Customer Type Value,Valor
"Value that identify the customer type as a company, Koin cannot show to customers identified as a company","Valor que identifica al cliente como empresa, Koin no puede mostrar a los clientes identificados como empresa"
Customer attribute that identify the customer type,Atributo de cliente que identifica el tipo de cliente
Show Logo,Mostrar Logotipo
"If not, Koin's logo besides the method title","Si no, el logotipo de Koin se situará junto al título del método"
Use Default Checkout Instructions,Usar Instrucciones de Pago Predeterminadas
